company_name,stage,funding_amount,description,headquarter,investor,funded_year,sector
TheCollegeFever,Seed,250000.0,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.","Bangalore, ",Undisclosed,2021,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing"
Happy Cow Dairy,Seed,560000.0,A startup which aggregates milk from dairy farmers in rural Maharashtra.,"Bangalore, ",Undisclosed,2021,"Agriculture, Farming"
MyLoanCare,Series A,910000.0,Leading Online Loans Marketplace in India,"Bangalore, ",Undisclosed,2021,"Credit, Financial Services, Lending, Marketplace"
PayMe India,Angel,2000000.0,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,"Bangalore, ",Undisclosed,2021,"Financial Services, FinTech"
Eunimart,Seed,3500000.0,Eunimart is a one stop solution for merchants to create a difference by selling globally.,"Bangalore, ",Undisclosed,2021,"E-Commerce Platforms, Retail, SaaS"
Hasura,Seed,1600000.0,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.","Bangalore, ",Undisclosed,2021,"Cloud Infrastructure, PaaS, SaaS"
Tripshelf,Seed,224000.0,Tripshelf is an online market place for holiday packages.,"Bangalore, ",Undisclosed,2021,"Internet, Leisure, Marketplace"
Hyperdata.IO,Angel,700000.0,Hyperdata combines advanced machine learning with human intelligence.,"Bangalore, ",Undisclosed,2021,Market Research
Freightwalla,Seed,3500000.0,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,"Bangalore, ",Undisclosed,2021,"Information Services, Information Technology"
Microchip Payments,Seed,3500000.0,Microchip payments is a mobile-based payment application and point-of-sale device,"Bangalore, ",Undisclosed,2021,Mobile Payments
BizCrum Infotech Pvt. Ltd.,Seed,3500000.0,Building Transactionary B2B Marketplaces,"Bangalore, ",Undisclosed,2021,"B2B, Shoes"
Emojifi,Seed,3500000.0,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.","Bangalore, ",Undisclosed,2021,Internet
Flock,Seed,3500000.0,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,"Bangalore, ",Undisclosed,2021,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat"
Freshboxx,Seed,3500000.0,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.","Bangalore, ",Undisclosed,2021,Food Delivery
Wide Mobility Mechatronics,Seed,3500000.0,Wide Mobility Mechatronics is a Private Company limited by Shares,"Bangalore, ",Undisclosed,2021,Industrial Automation
Pitstop,Seed,1400000.0,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,"Bangalore, ",Undisclosed,2021,"Automotive, Search Engine, Service Industry"
Mihuru,Seed,150000.0,Mihuru is an online platform which gives micro loans for air travel .,"Bangalore, ",Undisclosed,2021,"Finance, Internet, Travel"
Fyle,Seed,1100000.0,Fyle is an intelligent expense management platform for enterprises.,"Bangalore, ",Undisclosed,2021,"Accounting, Business Information Systems, Business Travel, Finance, SaaS"
AppWharf,Seed,3500000.0,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,"Bangalore, ",Undisclosed,2021,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software"
Antariksh Waste Ventures Pvt ltd,Seed,7000.0,Waste Management for Smart Cities,"Bangalore, ",Undisclosed,2021,"Internet of Things, Waste Management"
Cogoport,Series A,6000000.0,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,"Bangalore, ",Undisclosed,2021,"Air Transportation, Freight Service, Logistics, Marine Transportation"
PaisaDukan,Seed,650000.0,A P2P lending marketplace platform,"Bangalore, ",Undisclosed,2021,Finance
Sleepy Owl Coffee,Seed,490000.0,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.","Bangalore, ",Undisclosed,2021,Food and Beverage
BlueJack,Seed,896000.0,Delhi-based online used vehicles marketplace.,"Bangalore, ",Undisclosed,2021,Autonomous Vehicles
PregBuddy,Seed,3500000.0,PregBuddy is a smart connected care platform for expecting mothers.,"Bangalore, ",Undisclosed,2021,"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS"
AgNext Technologies,Series A,3500000.0,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,"Bangalore, ",Undisclosed,2021,"Agriculture, Analytics, Big Data, Farming"
Pando,Seed,2000000.0,A startup which digitizes logistics operations for Fortune 500 companies.,"Bangalore, ",Undisclosed,2021,"Logistics, Supply Chain Management"
Mintifi,Seed,2000000.0,Online lending startup based in Mumbai.,"Bangalore, ",Undisclosed,2021,"Financial Services, Lending"
Carcrew,Seed,2000000.0,India's Online Auto Repair Marketplace,"Bangalore, ",Undisclosed,2021,"Automotive, Marketplace, Online Portals"
NicheAI,Angel,3500000.0,Early stage Artificial Intelligence (AI) start up.,"Bangalore, ",Undisclosed,2021,AI
Chariot Tech,Seed,280000.0,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,"Bangalore, ",Undisclosed,2021,"Internet of Things, Telecommunications"
Ideal Insurance Brokers/ 121Policy.com,Seed,1000000.0,Ideal Insurance Broking is one of the leaders in insurance broking domain.,"Bangalore, ",Undisclosed,2021,Insurance
Loanzen,Seed,3500000.0,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,"Bangalore, ",Undisclosed,2021,Finance
Mojro Technologies,Seed,650000.0,Mojro envisions to be the world's largest technology-enabled logistics platform.,"Bangalore, ",Undisclosed,2021,"Information Technology, Logistics, Supply Chain Management"
Elemential,Seed,1000000.0,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.","Bangalore, ",Undisclosed,2021,"Blockchain, Developer Tools, Enterprise Software"
Loadshare,Series A,5000000.0,LoadShare is India’s fastest growing logistics company,"Bangalore, ",Undisclosed,2021,"Industrial Automation, Logistics, Supply Chain Management"
Yumlane,Series A,4000000.0,Food startup Yumlane operated by QwikPik Technology,"Bangalore, ",Undisclosed,2021,"Food and Beverage, Food Delivery, Snack Food"
Kriger Campus,Seed,420000.0,A Education Start Up.,"Bangalore, ",Undisclosed,2021,E-learning
Pipa+Bella,Series A,1000000.0,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,"Bangalore, ",Undisclosed,2021,"E-Commerce, Fashion, Jewelry, Retail"
Kaleidofin,Seed,2800000.0,A fintech platform.,"Bangalore, ",Undisclosed,2021,Finance
Chakr Innovation,Seed,3500000.0,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,"Bangalore, ",Undisclosed,2021,CleanTech
IndigoLearn,Seed,150000.0,India's the premier education destination catering to the needs of aspiring students of the CA community.,"Bangalore, ",Undisclosed,2021,"E-Learning, Education"
UClean,Seed,560000.0,UClean is a tech enabled laundry service provider.,"Bangalore, ",Undisclosed,2021,"Clean Energy, CleanTech, Laundry and Dry-cleaning"
Coutloot,Seed,1000000.0,The Fashion Re-commerce platform.,"Bangalore, ",Undisclosed,2021,"E-Commerce, Fashion, Mobile"
Letstrack,Seed,1700000.0,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.","Bangalore, ",Undisclosed,2021,"Apps, Messaging, Navigation, Public Safety"
Pooltoo,Seed,3500000.0,Pooltoo offers a premium ride sharing platform.,"Bangalore, ",Undisclosed,2021,Logistics
Finzy,Seed,1300000.0,finzy is the premier peer to peer lending solution in India.,"Bangalore, ",Undisclosed,2021,"Financial Services, Lending"
Fitternity,Seed,2000000.0,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,"Bangalore, ",Undisclosed,2021,"Fitness, Health Care, Wellness"
Keito,Seed,3500000.0,Building an Intelligent Digital Assistant.,"Bangalore, ",Undisclosed,2021,"Artificial Intelligence, Machine Learning, SaaS, Virtual Assistant"
Tolet for Students,Seed,70000.0,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.","Bangalore, ",Undisclosed,2021,Hospitality
Chai Kings,Seed,280000.0,Chai Kings is a tea retail chain,"Bangalore, ",Undisclosed,2021,"Food and Beverage, Tea"
Dainik Jagran,Seed,560000.0,Dainik Jagran is a media and communications group.,"Bangalore, ",Undisclosed,2021,"Media and Entertainment, News, Outdoors"
Playtoome,Seed,280000.0,Playtoome is a live entertainment destination,"Bangalore, ",Undisclosed,2021,"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming"
ONGO Framework,Angel,1000000.0,ONGO Framework is a B2B IT and digital solution provider.,"Bangalore, ",Undisclosed,2021,"B2B, Information Services, Information Technology"
Notesgen,Seed,175000.0,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,"Bangalore, ",Undisclosed,2021,"EdTech, Education, Enterprise Software, Peer to Peer"
Arogya MedTech,Seed,210000.0,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,"Bangalore, ",Undisclosed,2021,"Health Care, Medical"
Propshop24,Seed,500000.0,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.","Bangalore, ",Undisclosed,2021,E-Commerce
myUpchar,Series A,5000000.0,To bring health issues to people in their language.,"Bangalore, ",Undisclosed,2021,"Health Care, Hospital, Wellness"
MissMalini Entertainment,Seed,1456000.0,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.","Bangalore, ",Undisclosed,2021,—
Rooter,Seed,630000.0,Rooter is a mobile-based platform,"Bangalore, ",Undisclosed,2021,Sports
ZestMoney,Series A,13400000.0,Zest is India's first completely automated consumer digital lending platform.,"Bangalore, ",Undisclosed,2021,"Big Data, Consumer Lending, FinTech"
alphaics Corporation,Seed,3500000.0,Advancing AI compute,"Bangalore, ",Undisclosed,2021,"Cloud Computing, Computer, Semiconductor"
MyDentistChoice,Seed,500000.0,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,"Bangalore, ",Undisclosed,2021,"Health Care, Medical, Pharmaceutical"
Sattviko,Angel,3500000.0,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,"Bangalore, ",Undisclosed,2021,"Food Processing, Retail"
Sensibull,Seed,350000.0,Investment Management Platform,"Bangalore, ",Undisclosed,2021,Trading Platform
Bombay Shaving Company,Series A,3500000.0,Bombay Shaving Company is a Men's grooming startup,"Bangalore, ",Undisclosed,2021,"Consumer Goods, Lifestyle, Men's"
MedCords,Seed,369600.0,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,"Bangalore, ",Undisclosed,2021,Wellness
University Living,Seed,3500000.0,University Living is an online global student housing marketplace.,"Bangalore, ",Undisclosed,2021,E-learning
&ME,Seed,3500000.0,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,"Bangalore, ",Undisclosed,2021,"Food and Beverage, Food Processing, Nutrition"
Enakshi,Seed,112000.0,Enakshi is an online apparel brand for women.,"Bangalore, ",Undisclosed,2021,Fashion
Ultraviolette Automotive,Series A,840.0,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,"Bangalore, ",Undisclosed,2021,"Automotive, Electric Vehicle, Energy Storage"
Inthree Access,Series A,4000000.0,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,"Bangalore, ",Undisclosed,2021,"Consulting, Retail, Social"
BUGWORKS Research India,Series A,9000000.0,BUGWORKS is a drug discovery company.,"Bangalore, ",Undisclosed,2021,"Biotechnology, Life Science, Pharmaceutical, Product Research"
Guardian.in,Seed,3500000.0,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,"Bangalore, ",Undisclosed,2021,Health
PrestLoans,Seed,100000.0,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.","Bangalore, ",Undisclosed,2021,"Credit, Financial Services, FinTech, Personal Finance"
Wimoxez,Seed,20000.0,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.","Bangalore, ",Undisclosed,2021,Internet
India Accelerator,Angel,3500000.0,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,"Bangalore, ",Undisclosed,2021,"Communities, Coworking, Incubators"
HappyEMI,Seed,1000000.0,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,"Bangalore, ",Undisclosed,2021,"Consumer, Financial Services, FinTech"
Wishup,Seed,3500000.0,Premium Personal Assistance service,"Bangalore, ",Undisclosed,2021,"Consumer Applications, Information Services, Location Based Services, Virtual Assistant"
Hansel.io,Series A,4000000.0,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.","Bangalore, ",Undisclosed,2021,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps"
Propelld,Seed,250000.0,Propelld is a student education financing platform.,"Bangalore, ",Undisclosed,2021,"Education, Financial Services, FinTech"
PivotRoots,Series A,3500000.0,Digital Marketing powered by Data & Technology; fueled by Design thinking,"Bangalore, ",Undisclosed,2021,"Advertising, Consulting, Digital Marketing"
ZiffyHomes,Seed,120000.0,ZiffyHomes is a technology driven marketplace to find out home on rent.,"Bangalore, ",Undisclosed,2021,"Marketplace, Real Estate, Rental Property"
Carmesi,Seed,476000.0,Carmesi is a brand of high-end menstrual-hygiene products in India.,"Bangalore, ",Undisclosed,2021,Health
OckyPocky,Angel,3500000.0,OckyPocky is a interactive and personalised language learning app for preschool kids.,"Bangalore, ",Undisclosed,2021,"E-Learning, Internet, Video Games"
Racetrack,Seed,4788000.0,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.","Bangalore, ",Undisclosed,2021,"Artificial Intelligence, Cloud Computing, Video"
WHR,Seed,143145.0,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.","Bangalore, ",Undisclosed,2021,"Health Care, Information Technology"
Asteria Aerospace,Seed,3500000.0,Asteria Aerospace is a robotics and artificial intelligence company.,"Bangalore, ",Undisclosed,2021,Aerospace
FabAlley,Series B,8400000.0,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar","Bangalore, ",Undisclosed,2021,"E-Commerce, Fashion, Lifestyle"
Tranzmeo,Pre-Seed,3500000.0,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,"Bangalore, ",Undisclosed,2021,"Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning"
SBI Life,Private Equity,742000000.0,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,"Bangalore, ",Undisclosed,2021,Insurance
Studds Accessories,Private Equity,14000000.0,Studds Accessories is a scooter accessories service provider in India,"Bangalore, ",Undisclosed,2021,E-Commerce
Design Cafe,Series B,28000000.0,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.","Bangalore, ",Undisclosed,2021,"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home"
NoPaperForms Solutions Pvt. Ltd.,Series B,3980000.0,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions","Bangalore, ",Undisclosed,2021,"EdTech, Education, Information Services, SaaS"
Rays Power Infra,Series B,28000000.0,Rays Power Infra is a leading integrated Solar Power Company.,"Bangalore, ",Undisclosed,2021,"Energy, Solar"
AuthMetrik,Grant,10000.0,"SaaS, B2B, Security, Stop account sharing, Fraud Detection","Bangalore, ",Undisclosed,2021,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security"
Khidki,Seed,3500000.0,Vernacular Social Network Focused on Town Level Content and Interactions,"Bangalore, ",Undisclosed,2021,"Artificial Intelligence, Social"
LetsTransport,Series B,14000000.0,Lets transport is a logistics solution provider.,"Bangalore, ",Undisclosed,2021,"Logistics, Transportation, Travel"
Next Digital Solutions,Angel,1400.0,Next Digital Solutions is website design & Digital Marketing development company.,"Bangalore, ",Undisclosed,2021,"Digital Marketing, SEM, SEO, Web Development"
Portea Medical,Debt Financing,3500000.0,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,"Bangalore, ",Undisclosed,2021,"Health Care, Hospital, Medical"
Aavas Financiers,Post-IPO Debt,28000000.0,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.","Bangalore, ",Undisclosed,2021,"Finance, Financial Services"
Swiggy,Series H,1000000000.0,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,"Bangalore, ",Undisclosed,2021,"Food Delivery, Food Processing, Internet"
Milkbasket,Series A,7000000.0,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.","Bangalore, ",Undisclosed,2021,"E-Commerce, Food and Beverage, Internet"
Nutrisattva (Proliva),Angel,3500000.0,Nutrisattva is a protein innovation compan,"Bangalore, ",Undisclosed,2021,"Fitness, Food and Beverage, Health Care, Nutrition"
Toppr,Series C,35000000.0,Toppr.com is an online preparation platform for entrance exams in India.,"Bangalore, ",Undisclosed,2021,"EdTech, Education, Knowledge Management"
Jagaran Microfin,Debt Financing,7700000.0,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,"Bangalore, ",Undisclosed,2021,—
Vivriti Capital,Series B,28500000.0,Vivriti Capital is an online platform for institutional debt in India.,"Bangalore, ",Undisclosed,2021,Finance
Be U Salons,Seed,420000.0,Be U is India's first subscription based Salon Chain.,"Bangalore, ",Undisclosed,2021,"Apps, Beauty, Consumer, Retail"
Impact Guru,Series A,2000000.0,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.","Bangalore, ",Undisclosed,2021,"Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health"
MobiKwik,Series E,3360000.0,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,"Bangalore, ",Undisclosed,2021,"Consumer Lending, Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management"
Stones2Milestones,Seed,3500000.0,Stones2milestones is a Gurgaon Based Learning Company.,"Bangalore, ",Undisclosed,2021,"E-Learning, Education, Higher Education"
Generico,Series A,3500000.0,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,"Bangalore, ",Undisclosed,2021,"Health Care, Medical, Pharmaceutical"
Adiuvo Diagnostics,Seed,3500000.0,Adiuvo Diagnostics is a medical diagnostic device company based in India.,"Bangalore, ",Undisclosed,2021,Health Diagnostics
DataTrained,Seed,1680000.0,"DataTrained is a educational platform, which operates an ed-tech startup on data science","Bangalore, ",Undisclosed,2021,"EdTech, Education"
OneAssist,Debt Financing,2400000.0,OneAssist is a protection & assistance services platform.,"Bangalore, ",Undisclosed,2021,"Financial Services, SaaS, Security"
Satin Creditcare Network Limited (SCNL),Post-IPO Debt,30000000.0,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,"Bangalore, ",Undisclosed,2021,"Banking, Finance, Financial Services, Non Profit"
APAC Financial Services,Private Equity,35000000.0,APAC Financial Services is a financial services platform.,"Bangalore, ",Undisclosed,2021,"Finance, Financial Services"
Moglix,Series C,23000000.0,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.","Bangalore, ",Undisclosed,2021,"B2B, E-Commerce, Mobile"
SEDEMAC Mechatronics,Series B,3500000.0,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,"Bangalore, ",Undisclosed,2021,"Automotive, Electric Vehicle, Renewable Energy"
MadGuy Labs,Series B,150000.0,MadGuy Labs is a Online Test-prep Platform.,"Bangalore, ",Undisclosed,2021,E-learning
Dee Dee Labs,Seed,3500000.0,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,"Bangalore, ",Undisclosed,2021,"Embedded Systems, Health Care, Medical, Product Research"
FLEECA,Seed,3500000.0,FLEECA is a Tyre Care Provider company.,"Bangalore, ",Undisclosed,2021,—
Shop101,Series B,11000000.0,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,"Bangalore, ",Undisclosed,2021,"Apps, E-Commerce, Internet"
FeedMyPockets,Seed,616000.0,On Demand Staffing Platform,"Bangalore, ",Undisclosed,2021,"Advertising, Human Resources, Marketing"
Housejoy,Series B,3240000.0,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,"Bangalore, ",Undisclosed,2021,"Beauty, Fitness, Home Services, Internet"
Ambee,Angel,3500000.0,Ambee is an Environment analytics startup.,"Bangalore, ",Undisclosed,2021,"Health Care, Medical Device, Public Safety"
FoodBuddy,Seed,840000.0,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.","Bangalore, ",Undisclosed,2021,"Food Delivery, Online Portals, Restaurants"
Ninjacart,Series B,35000000.0,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,"Bangalore, ",Undisclosed,2021,"AgTech, B2B, Supply Chain Management"
Olly Smart Credit Card,Seed,3500000.0,Olly is a digital credit card for India's working masses and young people.,"Bangalore, ",Undisclosed,2021,"Credit Cards, Finance, Mobile Apps, Mobile Payments, Payments"
Zestl,Seed,3500000.0,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.","Bangalore, ",Undisclosed,2021,Software
BYJU’S,Private Equity,540000000.0,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,"Bangalore, ",Undisclosed,2021,"EdTech, Education, Higher Education, Secondary Education"
Wakefit,Series B,9100000.0,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,"Bangalore, ",Undisclosed,2021,"Manufacturing, Retail"
Hero Electric,Series B,22400000.0,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.","Bangalore, ",Undisclosed,2021,Manufacturing
Pentation Analytics,Seed,3500000.0,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,"Bangalore, ",Undisclosed,2021,"Information Services, Information Technology, InsurTech"
PerkFinance,Seed,900000.0,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,"Bangalore, ",Undisclosed,2021,"Consumer Lending, FinTech"
Roposo,Series C,10000000.0,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,"Bangalore, ",Undisclosed,2021,"Internet, Social Network, TV"
Plum Goodness,Series A,3500000.0,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,"Bangalore, ",Undisclosed,2021,"Beauty, Health Care"
Drstore,Seed,3500000.0,Drstore is a exclusive e- commerce platform.,"Bangalore, ",Undisclosed,2021,Hospital
Wow Venue,Series B,1500000.0,Wow Venue is an online platform.,"Bangalore, ",Undisclosed,2021,Events
Chizel,Seed,3500000.0,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,"Bangalore, ",Undisclosed,2021,"3D Printing, Manufacturing, Product Design"
OTO Capital,Seed,700000.0,OTO Capital is a platform that allows you to own a car faster than ever.,"Bangalore, ",Undisclosed,2021,Automotive
Boodmo,Seed,980000.0,boodmo.com - large online marketplace for auto parts in India.,"Bangalore, ",Undisclosed,2021,"Automotive, Retail"
Khabri,Seed,3500000.0,Khabri is a digital audio platform for content in vernacular.,"Bangalore, ",Undisclosed,2021,"Apps, Audio"
MyNewCar.in,Series B,1000000.0,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,"Bangalore, ",Undisclosed,2021,"Automotive, E-Commerce"
HalaPlay Technologies,Series A,5000000.0,A daily fantasy sports platform.,"Bangalore, ",Undisclosed,2021,"Digital Entertainment, Fantasy Sports, Sports"
PlanetSpark,Seed,224000.0,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,"Bangalore, ",Undisclosed,2021,"E-Learning, EdTech, Education"
WheelsEMI,Series B,14000000.0,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.","Bangalore, ",Undisclosed,2021,—
Forum for Innovation Incubation Research and Entrepreneurship,Grant,1435000.0,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.","Bangalore, ",Undisclosed,2021,"Funding Platform, Incubators, Non Profit"
OYO,Series E,100000000.0,OYO is an Indian hospitality startup that operates a network of budget hotels.,"Bangalore, ",Undisclosed,2021,"Hospitality, Hotel, Leisure, Travel"
Quikr,Debt Financing,7700000.0,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.","Bangalore, ",Undisclosed,2021,"Classifieds, Internet, Marketplace, Rental Property"
Tabono,Seed,3500000.0,Tabono is a one stop environment for all your fitness solution.,"Bangalore, ",Undisclosed,2021,Sports
LearnApp,Seed,280000.0,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.","Bangalore, ",Undisclosed,2021,"Banking, E-Learning, Trading Platform"
Shopkirana,Series B,2000000.0,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,"Bangalore, ",Undisclosed,2021,"E-Commerce, Mobile, Retail"
Fric Bergen,Series B,3500000.0,Fric Bergen is a leader in the specialty food industry.,"Bangalore, ",Undisclosed,2021,—
Articbot,Grant,16800.0,Articbot is a conversational AI platform for automated customer support and lead generation,"Bangalore, ",Undisclosed,2021,"Artificial Intelligence, Information Technology"
BuildSupply,Series A,3500000.0,India’s most advanced ERP system for the real estate,"Bangalore, ",Undisclosed,2021,"Enterprise Resource Planning (ERP), Information Services, Information Technology, Real Estate"
Fusion Microfinance,Series E,72800000.0,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,"Bangalore, ",Undisclosed,2021,"Banking, Finance, Financial Services"
Any time Doctor,Angel,3500000.0,Anytime Doctor is a Software company.,"Bangalore, ",Undisclosed,2021,Software
Go Payments,Corporate Round,3500000.0,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,"Bangalore, ",Undisclosed,2021,"Information Services, Information Technology"
Guiddoo World,Seed,800000.0,We build In-Destination Experiences!,"Bangalore, ",Undisclosed,2021,"Audio, Mobile, Tourism, Travel"
ION Energy,Series B,1041000.0,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,"Bangalore, ",Undisclosed,2021,"Energy, Energy Storage, Infrastructure"
UnoTag,Pre-Seed,100000.0,SaaS to verify counterfeit,"Bangalore, ",Undisclosed,2021,AI
CivilCops,Pre-Seed,100000.0,Gov-Tech,"Bangalore, ",Undisclosed,2021,"Government, Information Technology, Software"
Rockmetric,Grant,3500000.0,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.","Bangalore, ",Undisclosed,2021,Information Technology
Classworks India,Undisclosed,1400.0,"Saas, Web App, Mobile App, School Education","Bangalore, ",Undisclosed,2021,"Education, Information Technology, Internet, Mobile, Software"
Snapmint,Seed,3500000.0,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.","Bangalore, ",Undisclosed,2021,"Consumer Lending, Financial Services, Lending, Personal Finance"
artbandhu,Pre-Seed,15000.0,Ai platform for Art and Creative Community,"Bangalore, ",Undisclosed,2021,"Digital Media, Internet, Media and Entertainment, Online Portals, Social Media"
Survaider,Seed,500000.0,Stethoscope for customer feedback !,"Bangalore, ",Undisclosed,2021,"Business Intelligence, Customer Service, Market Research, SaaS"
Credy,Seed,1400000.0,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,"Bangalore, ",Undisclosed,2021,"Credit, Financial Services, FinTech, Lending"
iChamp,Seed,5000000.0,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,"Bangalore, ",Undisclosed,2021,E-learning
Qandle,Seed,1200000.0,A cloud-based HR management and employee engagement platform.,"Bangalore, ",Undisclosed,2021,Software
