company_name,stage,funding_amount,description,headquarter,investor,funded_year,sector
StackBOX,Pre-series A,1200000.0,DISTRIBUTION SIMPLIFIED,"Bangalore, ","Ecosystem Ventures, CMM group",2021,Transportation & Logistics
MedPrime Technologies,Pre-series A,3500000.0,"MedPrime Technologies is a medical device company, dedicated to developing the best, customer-centric solutions for the healthcare needs of the world.","Thane, ","Mumbai Angels Network, Social Alpha",2021,Healthcare & Life Sciences
infra.market,Pre-series A,125000000.0,Infra.Market is a Construction Solutions company that leverages technology to provide an enhanced procurement experience for all players in the construction ecosystem.,"Thane, ",Tiger Global,2021,Manufacturing
CollegeDekho,Pre-series A,35000000.0,"Collegedekho.com is Student’s Partner, Friend & Confidante, To Help Him Take a Decision and Move On to His Career Goals","Gurgaon, ","Disrupt ADQ, QIC",2021,E-learning
BOX8,Pre-series A,40000000.0,India's Largest Desi Meals Brand,"Mumbai, ",Tiger Global,2021,Consumer Goods
Simpl,Pre-series A,40000000.0,"Simpl empowers merchants to build trusted relationships with their customers one transaction at a time through one-click checkout, personalized PoS credit and intelligent loyalty rewards","Bangalore, ","Valar Ventures, IA Ventures",2021,Consumer Goods
8i Ventures,Pre-series A,50000000.0,8i is a Mumbai & Bangalore based early stage fund that backs founders creating fintech and consumer category leaders in India.,"Mumbai, ",Undisclosed,2021,Finance
PayGlocal,Pre-series A,4900000.0,PayGlocal is a FinTech solving for global payments acceptance,"Bangalore, ",Sequoia Capital India,2021,Finance
Curefit,Pre-series A,145000000.0,Tata Digital-backed Curefit,"Bangalore, ",Zomato,2021,Healthcare & Life Sciences
Pocket FM,Pre-series A,22000000.0,"Pocket FM lets users discover and enjoy the greatest selection of audio content ranging from audiobooks, stories and podcasts from the most diverse creator community.","Bangalore, ","Lightspeed, Times Group, Tanglin Venture Partners",2021,Media & Entertainment
CHARGE+ZONE,Pre-series A,10000000.0,CHARGE+ZONE is a tech-driven EV Charging infrastructure company specializing in B2B and B2C charging services on both dedicated and opportunity based charging using smart-grid network.,"Vadodara, ",Venture Catalysts,2021,Manufacturing
PlanetSpark,Pre-series A,13000000.0,PlanetSpark is building the World Leader in Communication Skills for children in the age groups of 4 to 14 years,"Gurugram, ","Binny Bansal, Deep Kalra, Dr Ashish Gupta, Gokul Rajaram, Shirish Nadkarni",2021,E-learning
LenDenClub,Pre-series A,10000000.0,P2P lending platform delivering high returns of up to 12% p.a. for 5 years to investors.,"Mumbai, ","Tuscan Ventures, Ohm Stock Brokers, Artha Venture Fund",2021,Finance
CometChat,Pre-series A,10000000.0,"Voice, video & text chat SDKs, APIs & Plugins for Developers.","Mumbai, ",Signal Peak Ventures,2021,IT & Technology
AgroStar,Pre-series A,70000000.0,"AgroStar is one of India’s foremost AgTech start-ups, working on the mission of #HelpingFarmersWin.","Pune, ","Evolvence, Hero Enterprise",2021,Agriculture
Bizongo,Pre-series A,100000000.0,Bizongo is India’s largest B2B platform for made-to-order products.,"Mumbai, ",Tiger Global,2021,IT & Technology
Probus Insurance,Pre-series A,6700000.0,Probus Insurance is a leading InsurTech platform in India.,"Mumbai, ",BlueOrchard Impact Investment Managers,2021,Finance
MoEngage,Pre-series A,30000000.0,Insights-led customer engagement platform for the customer-obsessed marketers & product owners.,"Bangalore, ",Steadview Capital,2021,IT & Technology
CloudSEK,Pre-series A,7000000.0,AI-powered Digital Risk Monitoring platform that provides real-time visibility of cyber threats and actionable Intel.,"Bangalore, ",MassMutual Ventures,2021,IT & Technology
Exponent Energy,Pre-series A,5000000.0,Simplifying energy for EVs by building a Flexible Energy Stack.,"Bangalore, ",YourNest VC,2021,Manufacturing
Trinkerr,Pre-series A,6600000.0,Trinkerr is India's first social trading platform.,"Bangalore, ",Accel India,2021,Finance
Zorro,Pre-series A,32000000.0,Pseudonymous social network platform,"Gurugram, ","Vijay Shekhar Sharma, Ritesh Agarwal, Ankiti Bose",2021,IT & Technology
Ultraviolette,Pre-series A,150000000.0,Create and Inspire the future of sustainable urban transportation through Accelerated Innovation.,"Bangalore, ","TVS Motor, Zoho",2021,Manufacturing
NephroPlus,Pre-series A,24000000.0,"A vision and passion of redefining healthcare delivery in India in 2010, NephroPlus today is India’s largest network of dialysis centres.","Hyderabad, ",IIFL Asset Management,2021,Healthcare & Life Sciences
Unremot,Pre-series A,700000.0,Unremot is a personal office for consultants!,"Bangalore, ",Inflection Point Ventures,2021,IT & Technology
FanAnywhere,Pre-series A,3500000.0,Celebrity NFT platform,"Bangalore, ","Oasis Capital, Scorpio VC, DeltaHub Capital",2021,Finance
PingoLearn,Pre-series A,200000.0,PingoLearn offers language learning courses with snackable videos.,"Pune, ","Titan Capital, Haresh Chawla, AngelList Syndicate",2021,E-learning
Spry,Pre-series A,1500000.0,THE BEST ROYALTY-FREE MUSIC TO CREATE TRENDING VIDEOS,"Mumbai, ","9Unicorns, Ashneer Grover",2021,Media & Entertainment
Enmovil,Pre-series A,1300000.0,Enmovil delivers a Business Intelligence Platform driven by a connected asset ecosystem that enables organizations to maximise their operational efficiency.,"Hyderabad, ",Anicut Angel Fund,2021,IT & Technology
ASQI Advisors,Pre-series A,1000000.0,Bringing Blockchain technology intro mainstream finance!,"Mumbai, ",Founders Room Capital,2021,Finance
Insurance Samadhan,Pre-series A,725000.0,The insurance industry will help in representation with the insurance companies and will help to find adequate redressal for grievances.,"New Delhi, ","9Unicorns, ZNL",2021,Finance
Evenflow Brands,Pre-series A,500000.0,Identify and partner with the upcoming eCommerce-1st brands that sell on marketplaces and have a successful track record of positive reviews & ratings,"Mumbai, ",Undisclosed,2021,Consumer Goods
MasterChow,Pre-series A,461000.0,A ready-to-cook Asian cuisine brand,"Hauz Khas, ",WEH Ventures,2021,Consumer Goods
Fullife Healthcare,Pre-series A,22000000.0,Primary Business is Development and Manufacture of sports nutrition and supplements,"Mumbai, ",Morgan Stanley Private Equity Asia,2021,Healthcare & Life Sciences
MoEVing,Pre-series A,5000000.0,"Vikash Mishra, Mragank Jain","Gurugram, ","Anshuman Maheshwary, Dr Srihari Raju Kalidindi",2021,Manufacturing
Pristyn Care,Pre-series A,96000000.0,A new age health tech company that aims to simplify the surgery journey of a patient by offering care at every step.,"Gurugram, ","Kunal Shah, Deepinder Goyal, Abhiraj Singh Bhal",2021,Healthcare & Life Sciences
Plix,Pre-series A,5000000.0,Plant-based nutraceutical firm,"Mumbai, ","Guild Capital, RPSG Capital Ventures",2021,Healthcare & Life Sciences
Uni Cards,Pre-series A,70000000.0,"Uni Card splits your payments into 3 parts, over 3 months, at 0 extra costs.","Bangalore, ","General Catalyst, Eight Roads Ventures, Elevation Capital",2021,Finance
Practically,Pre-series A,5000000.0,An experiential learning app for grades 6th to 12th.,"Hyderabad, ","NB Ventures, Earlsfield Capital",2021,E-learning
Nestasia,Pre-series A,4000000.0,"Artisanal, Handmade, bio conscious crafts from South East Asia.","Kolkata, ","Varun Alagh, Sahil Barua",2021,Retail
Vedic Cosmeceuticals,Pre-series A,32000000.0,One of india’s most trusted and technologically advanced white label manufacturer in the personal care space,"Noida, ",Sixth Sense Ventures,2021,Consumer Goods
Juspay,Pre-series A,60000000.0,Enable frictionless payments for the billion Indians.,"Bangalore, ",SoftBank Vision Fund 2,2021,Finance
TranZact,Pre-series A,7000000.0,A mission to digitize millions of Indian SMEs so they can grow better.,"Mumbai, ","Tribe Capital, Prime Venture Partners",2021,IT & Technology
Atomberg,Pre-series A,20000000.0,Atomberg has built the ‘Brushless DC Motor’ (BLDC) technology for ceiling fans in India and has continuously innovated and improved on the technology.,"Mumbai, ",Jungle Ventures,2021,Consumer Goods
Ola,Pre-series A,500000000.0,"Ola is India’s largest mobility platform and one of the world’s largest ride-hailing companies, serving 250+ cities across India, Australia, New Zealand, and the UK","Bangalore, ",Marquee international institutional investors,2021,Transportation & Logistics
